app_name,company,official_url,site_listing_url,site_review_url,summary,status
ChatGPT,OpenAI,https://chatgpt.com/,https://ihelpwithai.com/tools/chatgpt.html,https://ihelpwithai.com/reviews.html,"A flexible all-purpose AI assistant for thinking, writing, planning, and working with files.",reach out
Gemini,Google,https://gemini.google.com/,https://ihelpwithai.com/tools/gemini.html,https://ihelpwithai.com/reviews.html,"A practical assistant for writing, planning, brainstorming, and everyday productivity work.",reach out
Microsoft Copilot,Microsoft,https://copilot.microsoft.com/,https://ihelpwithai.com/tools/microsoft-copilot.html,https://ihelpwithai.com/reviews.html,"A practical everyday AI assistant for drafting, summarizing, and general work inside Microsoft-heavy environments.",reach out
Claude,Anthropic,https://claude.ai/,https://ihelpwithai.com/tools/claude.html,https://ihelpwithai.com/reviews.html,"Especially good for careful writing, long documents, code review, and slower, more deliberate thinking.",reach out
Perplexity,Perplexity,https://www.perplexity.ai/,https://ihelpwithai.com/tools/perplexity.html,https://ihelpwithai.com/reviews.html,One of the easiest tools for fast research because it answers questions with cited web sources.,reach out
Canva AI,Canva,https://www.canva.com/magic/,https://ihelpwithai.com/tools/canva-ai.html,https://ihelpwithai.com/reviews.html,"The easiest design tool for non-designers who need social posts, decks, visuals, and quick brand assets.",reach out
Grok,xAI,https://x.ai/grok,https://ihelpwithai.com/tools/grok.html,https://ihelpwithai.com/reviews.html,"A general AI assistant aimed at fast answers, current-context thinking, and broad everyday work.",reach out
Midjourney,Midjourney,https://www.midjourney.com/,https://ihelpwithai.com/tools/midjourney.html,https://ihelpwithai.com/reviews.html,"A favorite for strong visual style, concept art, moodboards, and distinctive AI image generation.",reach out
OpenClaw,OpenClaw,https://github.com/openclaw/openclaw,https://ihelpwithai.com/tools/openclaw.html,https://ihelpwithai.com/reviews.html,"An open AI assistant app for chat, automation, and customizable cross-platform workflows.",reach out
ElevenLabs,ElevenLabs,https://elevenlabs.io/,https://ihelpwithai.com/tools/elevenlabs.html,https://ihelpwithai.com/reviews.html,"One of the strongest voice tools for realistic narration, multilingual audio, and voice agents.",reach out
Hermes Agent,Nous Research,https://github.com/NousResearch/hermes-agent,https://ihelpwithai.com/tools/hermes-agent.html,https://ihelpwithai.com/reviews.html,"An AI agent app for chat, coding, research, writing, and task-oriented workflows that grow with the user.",reach out
Runway,Runway,https://runwayml.com/,https://ihelpwithai.com/tools/runway.html,https://ihelpwithai.com/reviews.html,"A strong choice for AI video generation, concept scenes, and fast creative experiments.",reach out
n8n,n8n,https://n8n.io/,https://ihelpwithai.com/tools/n8n.html,https://ihelpwithai.com/reviews.html,"A workflow automation app for connecting systems, running logic, and building more customizable automations.",reach out
Manus,Manus,https://manus.im/,https://ihelpwithai.com/tools/manus.html,https://ihelpwithai.com/reviews.html,An agent-style AI app focused on completing multi-step tasks with less manual steering.,reach out
Pika,Pika,https://pika.art/,https://ihelpwithai.com/tools/pika.html,https://ihelpwithai.com/reviews.html,A video generation app for turning prompts into short visual clips and concept videos.,reach out
Dify,Dify,https://dify.ai/,https://ihelpwithai.com/tools/dify.html,https://ihelpwithai.com/reviews.html,"An AI app-building platform for assistants, workflows, and productized AI features.",reach out
Luma AI,Luma AI,https://lumalabs.ai/,https://ihelpwithai.com/tools/luma-ai.html,https://ihelpwithai.com/reviews.html,"A video and 3D creation app for cinematic generation, captures, and polished visual output.",reach out
Julius,Julius AI,https://julius.ai/,https://ihelpwithai.com/tools/julius.html,https://ihelpwithai.com/reviews.html,"A data analysis app for asking questions about spreadsheets, making charts, and finding insights quickly.",reach out
Lindy,Lindy,https://www.lindy.ai/,https://ihelpwithai.com/tools/lindy.html,https://ihelpwithai.com/reviews.html,"An AI assistant app for automating follow-up, scheduling, email, and everyday business tasks.",reach out
Relevance AI,Relevance AI,https://relevanceai.com/,https://ihelpwithai.com/tools/relevance-ai.html,https://ihelpwithai.com/reviews.html,"An AI app platform for building agents, workflows, and operational automations.",reach out
Gumloop,Gumloop,https://www.gumloop.com/,https://ihelpwithai.com/tools/gumloop.html,https://ihelpwithai.com/reviews.html,A visual automation app for building AI workflows and no-code multi-step processes.,reach out
Flowise,Flowise,https://flowiseai.com/,https://ihelpwithai.com/tools/flowise.html,https://ihelpwithai.com/reviews.html,"A visual AI workflow app for building chat flows, chains, and assistant-style logic.",reach out
Exa,Exa,https://exa.ai/,https://ihelpwithai.com/tools/exa.html,https://ihelpwithai.com/reviews.html,A search app and API for finding relevant web information and structured sources for AI workflows.,reach out
Langflow,Langflow,https://www.langflow.org/,https://ihelpwithai.com/tools/langflow.html,https://ihelpwithai.com/reviews.html,"A visual app builder for AI flows, assistants, and retrieval-based workflows.",reach out
Bardeen,Bardeen,https://www.bardeen.ai/,https://ihelpwithai.com/tools/bardeen.html,https://ihelpwithai.com/reviews.html,"A browser automation app for repetitive workflows, lead tasks, and AI-assisted actions.",reach out
Tavily,Tavily,https://tavily.com/,https://ihelpwithai.com/tools/tavily.html,https://ihelpwithai.com/reviews.html,"A retrieval-focused search app for AI workflows, sourcing, and agent-friendly research.",reach out
Galileo AI,Galileo,https://www.usegalileo.ai/,https://ihelpwithai.com/tools/galileo-ai.html,https://ihelpwithai.com/reviews.html,A UI generation app for turning product ideas into mockups and interface concepts.,reach out
Napkin,Napkin,https://www.napkin.ai/,https://ihelpwithai.com/tools/napkin-ai.html,https://ihelpwithai.com/reviews.html,"A visual thinking app for turning written ideas into diagrams, explainers, and shareable visuals.",reach out
Activepieces,Activepieces,https://www.activepieces.com/,https://ihelpwithai.com/tools/activepieces.html,https://ihelpwithai.com/reviews.html,"An open workflow automation app for connecting tools, automating steps, and building AI-assisted processes.",reach out
Tavus,Tavus,https://www.tavus.io/,https://ihelpwithai.com/tools/tavus.html,https://ihelpwithai.com/reviews.html,A personalized video app for generating custom avatar videos and interactive customer experiences.,reach out
Not Diamond,Not Diamond,https://www.notdiamond.ai/,https://ihelpwithai.com/tools/notdiamond.html,https://ihelpwithai.com/reviews.html,A model-routing app for choosing the strongest AI model for each request automatically.,reach out
Notion AI,Notion,https://www.notion.com/product/ai,https://ihelpwithai.com/tools/notion-ai.html,https://ihelpwithai.com/reviews.html,"Best when your notes, docs, databases, and project info all need to live in one system.",reach out
Abridge,Abridge,https://www.abridge.com/,https://ihelpwithai.com/tools/abridge.html,https://ihelpwithai.com/reviews.html,A clinical documentation app that turns medical conversations into structured notes and summaries.,reach out
Suki,Suki,https://www.suki.ai/,https://ihelpwithai.com/tools/suki.html,https://ihelpwithai.com/reviews.html,"A clinical assistant app for ambient notes, dictation, and medical documentation workflows.",reach out
Nabla,Nabla,https://www.nabla.com/,https://ihelpwithai.com/tools/nabla.html,https://ihelpwithai.com/reviews.html,A healthcare note-taking app that helps clinicians document visits and reduce charting time.,reach out
Ambience Healthcare,Ambience Healthcare,https://www.ambiencehealthcare.com/,https://ihelpwithai.com/tools/ambience-healthcare.html,https://ihelpwithai.com/reviews.html,"A healthcare workflow app for ambient documentation, coding support, and provider efficiency.",reach out
Miro AI,Miro,https://miro.com/ai/ai-overview/,https://ihelpwithai.com/tools/miro-ai.html,https://ihelpwithai.com/reviews.html,"A collaborative whiteboard app with AI support for brainstorming, planning, and synthesis.",reach out
Coda AI,Coda,https://coda.io/product/ai,https://ihelpwithai.com/tools/coda-ai.html,https://ihelpwithai.com/reviews.html,"A docs-and-tables app with AI help for operations, planning, and team knowledge workflows.",reach out
Durable,Durable,https://durable.co/,https://ihelpwithai.com/tools/durable.html,https://ihelpwithai.com/reviews.html,A website-building app for small businesses that want fast site creation and basic online presence.,reach out
Browse AI,Browse AI,https://www.browse.ai/,https://ihelpwithai.com/tools/browse-ai.html,https://ihelpwithai.com/reviews.html,"A web automation app for scraping data, monitoring pages, and reducing repetitive browser tasks.",reach out
D-ID,D-ID,https://www.d-id.com/,https://ihelpwithai.com/tools/d-id.html,https://ihelpwithai.com/reviews.html,An avatar video app for turning still images and scripts into speaking presenters.,reach out
Shortwave,Shortwave,https://www.shortwave.com/,https://ihelpwithai.com/tools/shortwave.html,https://ihelpwithai.com/reviews.html,"An email app with AI search, drafting, summarizing, and workflow help for inbox-heavy work.",reach out
Colossyan,Colossyan,https://www.colossyan.com/,https://ihelpwithai.com/tools/colossyan.html,https://ihelpwithai.com/reviews.html,"A training-video app for producing avatar-led explainers, onboarding videos, and internal education.",reach out
Tana,Tana,https://tana.inc/,https://ihelpwithai.com/tools/tana.html,https://ihelpwithai.com/reviews.html,"A knowledge workspace app for organizing notes, meetings, and structured thinking with AI assistance.",reach out
Uizard,Uizard,https://uizard.io/,https://ihelpwithai.com/tools/uizard.html,https://ihelpwithai.com/reviews.html,"A UI prototyping app for wireframes, mockups, and interface ideas without heavy design work.",reach out
HARPA AI,HARPA AI,https://harpa.ai/,https://ihelpwithai.com/tools/harpa-ai.html,https://ihelpwithai.com/reviews.html,"A browser assistant app for web automation, page reading, and AI-powered task support.",reach out
Kaiber,Kaiber,https://kaiber.ai/,https://ihelpwithai.com/tools/kaiber.html,https://ihelpwithai.com/reviews.html,"A creative video app for stylized animation, music-driven visuals, and experimental content.",reach out
Relay.app,Relay.app,https://www.relay.app/,https://ihelpwithai.com/tools/relay-app.html,https://ihelpwithai.com/reviews.html,An automation app for building collaborative workflows that mix AI steps with human approvals.,reach out
AirOps,AirOps,https://www.airops.com/,https://ihelpwithai.com/tools/airops.html,https://ihelpwithai.com/reviews.html,A content and SEO operations app for building repeatable AI workflows and publishing systems.,reach out
Dust,Dust,https://dust.tt/,https://ihelpwithai.com/tools/dust.html,https://ihelpwithai.com/reviews.html,A team AI workspace for building assistants that search company knowledge and support internal workflows.,reach out
